SVoltage(V),MVoltage(V),MCurrent(A),MPower(W),Receive?
11.800,11.802,0.743,8.184,35E;35F;595
11.700,11.699,0.780,8.453,35E;35F;595
11.600,11.599,0.743,8.051,35E;35F;595
11.500,11.499,0.780,8.314,35E;35F;595
11.400,11.399,0.780,8.244,35E;35F;595
11.300,11.299,0.739,7.855,35E;35F;595
11.200,11.199,1.046,8.095,35E;35F;595
11.100,11.099,0.745,7.714,35E;35F;595
11.000,10.999,0.745,7.649,35E;35F;595
10.900,10.899,0.769,7.894,35E;35F;595
10.800,10.799,0.728,7.473,35E;35F;595
10.700,10.699,0.764,7.721,35E;35F;595
10.600,10.599,0.732,7.347,35E;35F;595
10.500,10.499,0.761,7.599,35E;35F;595
10.400,10.399,0.757,7.532,35E;35F;595
10.300,10.299,0.750,7.475,35E;35F;595
10.200,10.199,0.727,7.142,35E;35F;595
10.100,10.099,0.727,7.076,35E;35F;595
10.000,9.999,0.758,7.292,35E;35F;595
9.900,9.899,0.725,6.951,35E;35F;595
9.800,9.799,0.758,7.165,35E;35F;595
9.700,9.700,0.395,6.824,35E;35F;595
9.600,9.600,0.751,7.033,35E;35F;595
9.500,9.500,0.727,6.699,35E;35F;595
9.400,9.399,0.749,6.901,35E;35F;595
9.300,9.300,0.725,6.575,35E;35F;595
9.200,9.199,0.753,6.772,35E;35F;595
9.100,9.100,0.686,6.449,35E;35F;595
9.000,8.999,0.753,6.643,35E;35F;595
8.900,8.900,0.719,6.326,35E;35F;595
8.800,8.800,0.216,1.824,35E;35F;595
8.700,8.700,0.210,1.832,35E;35F;595
8.600,8.599,0.215,1.812,35E;35F;595
8.500,8.500,0.214,1.821,35E;35F;595
8.400,8.399,0.210,1.800,
8.300,8.300,0.214,1.807,
8.200,8.199,0.214,1.787,
8.100,8.100,0.214,1.793,
8.000,7.999,0.254,1.749,
