SVoltage(V),MVoltage(V),MCurrent(A),MPower(W),Receive?
0.000,14.400,0.508,7.313,35E;35F;595
0.000,14.400,0.508,7.323,35E;35F;595
0.000,14.400,0.508,7.315,35E;35F;595
0.000,14.400,0.509,7.316,35F;35E;595
0.000,14.400,0.508,7.308,35F;35E;595
0.000,14.400,0.507,7.305,35E;35F;595
0.000,14.400,0.508,7.315,35F;35E;595
0.000,14.400,0.506,7.289,35F;35E;595
0.000,14.400,0.506,7.286,35E;35F;595
0.000,14.401,0.506,7.285,35E;35F;595
0.000,14.401,0.506,7.287,35F;35E;595
0.000,14.401,0.506,7.289,35F;35E;595
0.000,14.401,0.506,7.289,35F;595;35E
0.000,14.400,0.506,7.287,35E;35F;595
0.000,14.400,0.506,7.287,35E;35F;595
0.000,14.400,0.506,7.289,595;35E;35F
0.000,14.402,0.741,3.253,595;35E;35F
