SVoltage(V),MVoltage(V),MCurrent(A),MPower(W),Receive?
14.400,14.400,0.502,7.218,35E;35F;595
14.400,14.400,0.200,4.687,35E;35F;595
14.400,14.400,0.447,8.097,595;35E;35F
14.400,14.400,0.501,7.212,35E;35F;595
14.400,14.399,0.502,7.224,35E;35F;595
14.400,14.399,0.502,7.223,35E;35F;595
14.400,14.399,0.146,2.235,
14.400,14.399,0.431,5.417,35E;35F;595
14.400,14.400,0.502,7.220,35E;35F;595
14.400,14.400,0.501,7.212,595;35E;35F
14.400,14.400,0.430,8.084,35E;35F;595
14.400,14.399,0.501,7.219,35E;35F;595
14.400,14.400,0.505,7.267,35E;35F;595
14.400,14.400,0.505,14.963,35E;35F;595
14.400,14.400,0.432,14.957,35E;35F;595
14.400,14.400,0.496,7.262,35E;35F;595
14.400,14.399,0.504,7.256,35E;35F;595
14.400,14.400,0.505,7.269,35E;35F;595
14.400,14.400,0.506,7.288,35E;35F;595
14.400,14.400,0.506,7.286,35E;35F;595
14.400,14.400,0.503,7.259,35E;35F;595
14.400,14.400,0.505,7.263,35E;35F;595
14.400,14.400,0.763,14.947,35E;35F;595
14.400,14.400,0.583,14.943,35E;35F;595
14.400,14.401,0.503,7.241,35E;35F;595
14.400,14.402,0.371,14.932,35F;35E;595
